generation,individual_index,fitness,tau,lr,layers,activations
2,10,2.844,0.05,0.005,"[32, 8, 32, 4]","[<built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>, <function softmax at 0x1070f0cc0>]"
2,11,2.944,0.001,0.01,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
3,0,2.916,0.02,0.002,"[2, 16]","[<function softmax at 0x1070f0cc0>, <function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>]"
3,1,2.8653333,0.001,0.01,[32],"[<built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
3,2,2.9463332,0.01,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
3,3,2.8043332,0.001,0.01,"[32, 2]","[<built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>]"
3,4,2.8678336,0.02,0.008,[64],"[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>]"
3,5,2.9845,0.001,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
3,6,2.8956666,0.01,0.002,[64],"[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>]"
3,7,2.9608333,0.01,0.005,"[32, 8, 16]","[<built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
3,8,2.7376668,0.05,0.01,"[64, 8]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>]"
3,9,2.7603335,0.01,0.008,"[32, 2, 16]","[<built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>]"
3,10,2.9171665,0.01,0.005,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
3,11,2.8685,0.001,0.008,[16],"[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>]"
4,0,2.7963336,0.01,0.005,"[64, 64, 2]","[<built-in method tanh of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>, <function relu at 0x1070f04a0>, <function softmax at 0x1070f0cc0>]"
4,1,3.021,0.01,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
4,2,3.518,0.02,0.002,"[2, 32, 64, 16]","[<function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <function softmax at 0x1070f0cc0>, <built-in method tanh of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
4,3,2.9576664,0.001,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
4,4,2.8216665,0.02,0.005,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
4,5,2.883,0.01,0.002,[64],"[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>]"
